grupo,qtde_inscritos,qtde_vagas,nome_curso,ano
 1, 766, 13,Administração - Noturno - Manaus,2020
 2, 882, 9,Administração - Noturno - Manaus,2020
 3, 948, 5,Administração - Noturno - Manaus,2020
 8, 18, 2,Administração - Noturno - Manaus,2020
 9, 5, 3,Administração - Noturno - Manaus,2020
 1, 684, 13,Administração - Vespertino - Manaus,2020
 2, 814, 9,Administração - Vespertino - Manaus,2020
 3, 847, 5,Administração - Vespertino - Manaus,2020
 8, 27, 2,Administração - Vespertino - Manaus,2020
 9, 0, 3,Administração - Vespertino - Manaus,2020
 1, 20, 6,Bacharelado em Dança - Noturno - Manaus,2020
 2, 21, 4,Bacharelado em Dança - Noturno - Manaus,2020
 3, 22, 2,Bacharelado em Dança - Noturno - Manaus,2020
 8, 3, 1,Bacharelado em Dança - Noturno - Manaus,2020
 9, 0, 1,Bacharelado em Dança - Noturno - Manaus,2020
 1, 34, 6,Bacharelado em Dança - Vespertino - Manaus,2020
 2, 38, 4,Bacharelado em Dança - Vespertino - Manaus,2020
 3, 41, 2,Bacharelado em Dança - Vespertino - Manaus,2020
 8, 0, 1,Bacharelado em Dança - Vespertino - Manaus,2020
 9, 0, 1,Bacharelado em Dança - Vespertino - Manaus,2020
 1, 7, 2,Bacharelado em Música - Noturno - Manaus,2020
 2, 10, 1,Bacharelado em Música - Noturno - Manaus,2020
 3, 14, 1,Bacharelado em Música - Noturno - Manaus,2020
 8, 0, 1,Bacharelado em Música - Noturno - Manaus,2020
 9, 0, 1,Bacharelado em Música - Noturno - Manaus,2020
 1, 16, 2,Bacharelado em Música - Vespertino - Manaus,2020
 2, 23, 1,Bacharelado em Música - Vespertino - Manaus,2020
 3, 23, 1,Bacharelado em Música - Vespertino - Manaus,2020
 8, 0, 1,Bacharelado em Música - Vespertino - Manaus,2020
 9, 1, 1,Bacharelado em Música - Vespertino - Manaus,2020
 1, 46, 6,Bacharelado em Teatro - Integral - Manaus,2020
 2, 64, 4,Bacharelado em Teatro - Integral - Manaus,2020
 3, 70, 2,Bacharelado em Teatro - Integral - Manaus,2020
 8, 1, 1,Bacharelado em Teatro - Integral - Manaus,2020
 9, 1, 1,Bacharelado em Teatro - Integral - Manaus,2020
 1, 97, 11,Bacharelado em Turismo - Noturno - Manaus,2020
 2, 114, 8,Bacharelado em Turismo - Noturno - Manaus,2020
 3, 119, 5,Bacharelado em Turismo - Noturno - Manaus,2020
 8, 5, 2,Bacharelado em Turismo - Noturno - Manaus,2020
 9, 0, 2,Bacharelado em Turismo - Noturno - Manaus,2020
 1, 115, 11,Bacharelado em Turismo - Vespertino - Manaus,2020
 2, 133, 8,Bacharelado em Turismo - Vespertino - Manaus,2020
 3, 141, 5,Bacharelado em Turismo - Vespertino - Manaus,2020
 8, 2, 2,Bacharelado em Turismo - Vespertino - Manaus,2020
 9, 0, 2,Bacharelado em Turismo - Vespertino - Manaus,2020
 1, 291, 13,Ciências Contábeis - Matutino - Manaus,2020
 2, 347, 9,Ciências Contábeis - Matutino - Manaus,2020
 3, 373, 5,Ciências Contábeis - Matutino - Manaus,2020
 8, 12, 1,Ciências Contábeis - Matutino - Manaus,2020
 9, 4, 3,Ciências Contábeis - Matutino - Manaus,2020
 1, 265, 13,Ciências Contábeis - Noturno - Manaus,2020
 2, 311, 9,Ciências Contábeis - Noturno - Manaus,2020
 3, 383, 5,Ciências Contábeis - Noturno - Manaus,2020
 8, 11, 1,Ciências Contábeis - Noturno - Manaus,2020
 9, 0, 3,Ciências Contábeis - Noturno - Manaus,2020
 1, 87, 13,Ciências Econômicas - Matutino - Manaus,2020
 2, 127, 9,Ciências Econômicas - Matutino - Manaus,2020
 3, 138, 5,Ciências Econômicas - Matutino - Manaus,2020
 8, 7, 1,Ciências Econômicas - Matutino - Manaus,2020
 9, 1, 3,Ciências Econômicas - Matutino - Manaus,2020
 1, 82, 13,Ciências Econômicas - Noturno - Manaus,2020
 2, 128, 9,Ciências Econômicas - Noturno - Manaus,2020
 3, 153, 5,Ciências Econômicas - Noturno - Manaus,2020
 8, 3, 1,Ciências Econômicas - Noturno - Manaus,2020
 9, 1, 3,Ciências Econômicas - Noturno - Manaus,2020
 1, 967, 13,Direito - Noturno - Manaus,2020
 2, 1296, 9,Direito - Noturno - Manaus,2020
 3, 1609, 5,Direito - Noturno - Manaus,2020
 8, 51, 2,Direito - Noturno - Manaus,2020
 9, 29, 3,Direito - Noturno - Manaus,2020
 1, 1175, 13,Direito - Vespertino - Manaus,2020
 2, 1554, 9,Direito - Vespertino - Manaus,2020
 3, 1731, 5,Direito - Vespertino - Manaus,2020
 8, 72, 2,Direito - Vespertino - Manaus,2020
 9, 16, 3,Direito - Vespertino - Manaus,2020
 4, 596, 30,Enfermagem - Integral - Manaus,2020
 5, 1258, 14,Enfermagem - Integral - Manaus,2020
 6, 1435, 10,Enfermagem - Integral - Manaus,2020
 7, 1529, 6,Enfermagem - Integral - Manaus,2020
 8, 181, 6,Enfermagem - Integral - Manaus,2020
 9, 15, 6,Enfermagem - Integral - Manaus,2020
 1, 277, 10,Engenharia Civil - Integral - Manaus,2020
 2, 357, 7,Engenharia Civil - Integral - Manaus,2020
 3, 381, 4,Engenharia Civil - Integral - Manaus,2020
 8, 8, 1,Engenharia Civil - Integral - Manaus,2020
 9, 1, 2,Engenharia Civil - Integral - Manaus,2020
 1, 559, 11,Engenharia da Computação - Integral - Manaus,2020
 2, 758, 8,Engenharia da Computação - Integral - Manaus,2020
 3, 785, 5,Engenharia da Computação - Integral - Manaus,2020
 8, 16, 1,Engenharia da Computação - Integral - Manaus,2020
 9, 6, 2,Engenharia da Computação - Integral - Manaus,2020
 1, 118, 14,Engenharia da Produção - Integral - Manaus,2020
 2, 139, 10,Engenharia da Produção - Integral - Manaus,2020
 3, 150, 6,Engenharia da Produção - Integral - Manaus,2020
 8, 3, 2,Engenharia da Produção - Integral - Manaus,2020
 9, 0, 3,Engenharia da Produção - Integral - Manaus,2020
 1, 86, 13,Engenharia de Controle e Automação - Integral - Manaus,2020
 2, 121, 9,Engenharia de Controle e Automação - Integral - Manaus,2020
 3, 135, 5,Engenharia de Controle e Automação - Integral - Manaus,2020
 8, 2, 1,Engenharia de Controle e Automação - Integral - Manaus,2020
 9, 1, 3,Engenharia de Controle e Automação - Integral - Manaus,2020
 1, 60, 11,Engenharia de Materiais - Noturno - Manaus,2020
 2, 79, 8,Engenharia de Materiais - Noturno - Manaus,2020
 3, 95, 5,Engenharia de Materiais - Noturno - Manaus,2020
 8, 1, 1,Engenharia de Materiais - Noturno - Manaus,2020
 9, 1, 2,Engenharia de Materiais - Noturno - Manaus,2020
 1, 139, 14,Engenharia Elétrica - Integral - Manaus,2020
 2, 197, 10,Engenharia Elétrica - Integral - Manaus,2020
 3, 204, 6,Engenharia Elétrica - Integral - Manaus,2020
 8, 8, 2,Engenharia Elétrica - Integral - Manaus,2020
 9, 2, 3,Engenharia Elétrica - Integral - Manaus,2020
 1, 212, 11,Engenharia Eletrônica - Noturno - Manaus,2020
 2, 270, 8,Engenharia Eletrônica - Noturno - Manaus,2020
